task,model,split,recall_0,precision_0,f2_0,micro_f1,macro_f1,coverage,aux_score,missed_negative_rate,source_file
issue_multilabel,dummy_labelset_majority,test,,,,0.8093236530378296,0.1011896230471549,,,,results\issue_steps\02_metrics_overall.csv
issue_multilabel,dummy_label_prior,test,,,,0.8093236530378296,0.1011896230471549,,,,results\issue_steps\02_metrics_overall.csv
issue_multilabel,ovr_logreg,test,,,,0.7803271489735426,0.3871452596801139,,,,results\issue_steps\02_metrics_overall.csv
issue_multilabel,ovr_linearsvm,test,,,,0.7713273956433093,0.4054582658038577,,,,results\issue_steps\02_metrics_overall.csv
issue_multilabel,ovr_blend_lr_svm,test,,,,0.7681713848508034,0.3911300298532548,,,,results\issue_steps\02_metrics_overall.csv
issue_multilabel_fair_split,classic_issue_model,test,,,,0.7923577577157254,0.5275950778933162,,,,results\nlp_ext\issue_transformer\nlp_issue_hybrid_metrics.csv
issue_multilabel_fair_split,hybrid_route,test,,,,0.7300364815565464,0.3375919800191185,,,,results\nlp_ext\issue_transformer\nlp_issue_hybrid_metrics.csv
issue_multilabel_fair_split,transformer_multilabel,test,,,,0.6463627546071775,0.1878024414924206,,,,results\nlp_ext\issue_transformer\nlp_issue_hybrid_metrics.csv
llm_prompt_sentiment,llm_prompt_semantic,test,0.5133802816901408,0.4494451294697903,0.4991783073130649,,,,,0.4866197183098592,results\nlp_ext\syllabus_upgrade\nlp_llm_prompt_metrics.csv
mlm_probe,masked_lm_hit_at_k,probe,,,,,,,0.6,,results\nlp_ext\syllabus_upgrade\nlp_mlm_probe.csv
rnn_lstm_sentiment,lstm_text,test,0.9109154929577464,0.2671416769929781,0.6146645124501046,,,,,0.08908450704225357,results\nlp_ext\syllabus_upgrade\nlp_rnn_lstm_metrics.csv
sentiment,logreg_best_variant|cw=w10|k=10000,test,0.9316901408450704,0.6774193548387096,0.8666317306432595,,,,,0.0683098591549296,results\dm2_steps\08_ensemble_metrics.csv
sentiment,decision_tree|cw=none|k=10000,test,0.629225352112676,0.6820610687022901,0.6391273247496424,,,,,0.37077464788732395,results\dm2_steps\08_ensemble_metrics.csv
sentiment,decision_tree|cw=w5|k=10000,test,0.643661971830986,0.6163182737693864,0.6380008376378612,,,,,0.35633802816901405,results\dm2_steps\08_ensemble_metrics.csv
sentiment,decision_tree|cw=w2|k=10000,test,0.6295774647887324,0.6447890371438875,0.6325620887285077,,,,,0.37042253521126756,results\dm2_steps\08_ensemble_metrics.csv
sentiment,decision_tree|cw=w10|k=10000,test,0.6070422535211267,0.5676654593348699,0.5987358477460583,,,,,0.39295774647887327,results\dm2_steps\08_ensemble_metrics.csv
sentiment,decision_tree|cw=balanced|k=10000,test,0.6035211267605634,0.5767160161507402,0.597962601172202,,,,,0.39647887323943665,results\dm2_steps\08_ensemble_metrics.csv
sentiment,random_forest|cw=none|k=10000,test,0.4859154929577465,0.9025506867233486,0.5353402125843743,,,,,0.5140845070422535,results\dm2_steps\08_ensemble_metrics.csv
sentiment,random_forest|cw=w2|k=10000,test,0.4559859154929577,0.8961937716262975,0.5056618508395159,,,,,0.5440140845070423,results\dm2_steps\08_ensemble_metrics.csv
sentiment,random_forest|cw=w10|k=10000,test,0.452112676056338,0.8722826086956522,0.5003117206982544,,,,,0.547887323943662,results\dm2_steps\08_ensemble_metrics.csv
sentiment,random_forest|cw=balanced|k=10000,test,0.4492957746478873,0.8715846994535519,0.4975046787273861,,,,,0.5507042253521127,results\dm2_steps\08_ensemble_metrics.csv
sentiment,random_forest|cw=w5|k=10000,test,0.4352112676056338,0.8872936109117013,0.4845918607386497,,,,,0.5647887323943662,results\dm2_steps\08_ensemble_metrics.csv
sentiment,dummy_stratified|cw=none|k=10000,test,0.0915492957746478,0.0924937744574884,0.0917366452614494,,,,,0.9084507042253522,results\dm2_steps\08_ensemble_metrics.csv
sentiment,dummy_most_frequent|cw=none|k=10000,test,0.0,0.0,0.0,,,,,1.0,results\dm2_steps\08_ensemble_metrics.csv
syllabus_bench_sentiment,logreg_l2,test,0.9133802816901408,0.7029810298102981,0.8617940199335549,,,,,0.08661971830985915,results\nlp_ext\syllabus_upgrade\nlp_syllabus_bench_test_summary.csv
syllabus_bench_sentiment,multinomial_nb,test,0.9126760563380282,0.6332763254336672,0.8386721025043681,,,,,0.08732394366197183,results\nlp_ext\syllabus_upgrade\nlp_syllabus_bench_test_summary.csv
syllabus_bench_sentiment,sgd_log_loss,test,0.9214788732394368,0.6163447951012718,0.8384595668332693,,,,,0.07852112676056322,results\nlp_ext\syllabus_upgrade\nlp_syllabus_bench_test_summary.csv
syllabus_bench_sentiment,linear_svm,test,0.8471830985915493,0.7885939036381514,0.8347789882728471,,,,,0.15281690140845072,results\nlp_ext\syllabus_upgrade\nlp_syllabus_bench_test_summary.csv
syllabus_bench_sentiment,complement_nb,test,0.952112676056338,0.5095157339363106,0.8111837763244735,,,,,0.04788732394366202,results\nlp_ext\syllabus_upgrade\nlp_syllabus_bench_test_summary.csv
syllabus_bench_sentiment,perceptron,test,0.828169014084507,0.6837209302325581,0.7945945945945946,,,,,0.17183098591549295,results\nlp_ext\syllabus_upgrade\nlp_syllabus_bench_test_summary.csv
syllabus_bench_sentiment,svd_semantic_logreg,test,0.9197183098591548,0.50143981570359,0.788218963123906,,,,,0.08028169014084519,results\nlp_ext\syllabus_upgrade\nlp_syllabus_bench_test_summary.csv
syllabus_bench_sentiment,ffnn_mlp_svd,test,0.7295774647887324,0.7987663839629915,0.7424394438870575,,,,,0.2704225352112676,results\nlp_ext\syllabus_upgrade\nlp_syllabus_bench_test_summary.csv
transformer_sentiment,distilbert_finetune,test,0.8531690140845071,0.7986156888595913,0.8416701403362512,,,0.9096821778194984,,0.14683098591549293,results\nlp_ext\nlp_metrics.csv
